,id,Label,wstrato,Longitude,Latitude,pop,income_level
434,469.0,469.0,4.0,-74.0706,4.61677,436.0,3.0
435,471.0,471.0,1.7623762376237626,-74.0662,4.60564,1616.0,1.0
436,472.0,472.0,2.49245283018868,-74.0861,4.59486,18550.0,1.0
437,473.0,473.0,2.829693486590038,-74.0621,4.6162800000000015,5220.0,2.0
438,474.0,474.0,3.3438914027149313,-74.0669,4.62141,221.0,2.0
439,475.0,475.0,3.667611336032389,-74.0694,4.61308,2470.0,3.0
440,476.0,476.0,3.0,-74.06659599999998,4.6012879999999985,620.0,2.0
441,477.0,477.0,2.0,-74.0747,4.59943,420.0,1.0
442,478.0,478.0,1.9854523102141173,-74.0703,4.59226,9761.0,1.0
443,479.0,479.0,3.0147492625368737,-74.0688,4.60811,2373.0,2.0
444,480.0,480.0,1.0546762589928056,-74.0582,4.62488,695.0,1.0
445,481.0,481.0,3.9564343163538873,-74.0693,4.61821,1492.0,3.0
446,482.0,482.0,3.0,-74.0697,4.61546,50.0,2.0
447,483.0,483.0,3.0,-74.0682,4.62245,35.0,2.0
448,484.0,484.0,3.6296296296296298,-74.068,4.62499,108.0,3.0
449,485.0,485.0,2.3011363636363638,-74.0793,4.5959900000000005,1056.0,1.0
450,486.0,486.0,3.1656686626746504,-74.0635,4.60996,1503.0,2.0
451,488.0,488.0,4.0,-74.0695,4.6229,339.0,3.0
452,489.0,489.0,3.2194570135746607,-74.068,4.62656,442.0,2.0
453,491.0,491.0,3.0,-74.0666,4.62625,688.0,2.0
454,492.0,492.0,1.9378068002702111,-74.0728,4.58757,22205.0,1.0
455,493.0,493.0,3.0,-74.0666,4.60507,865.0,2.0
456,494.0,494.0,2.3439041578576467,-74.06788,4.598364,1419.0,1.0
457,495.0,495.0,3.0,-74.0623,4.60141,20.0,2.0
458,496.0,496.0,1.9142567224759008,-74.0695,4.594519999999998,1971.0,1.0
459,497.0,497.0,3.0000000000000004,-74.0683,4.60344,1390.0,2.0
460,498.0,498.0,2.880434782608696,-74.066,4.6036,828.0,2.0
461,500.0,500.0,4.0,-74.0669,4.62678,889.0,3.0
462,501.0,501.0,2.7735602094240837,-74.0719,4.61209,764.0,2.0
463,502.0,502.0,2.9861690450054885,-74.0923,4.607480000000002,4555.0,2.0
464,503.0,503.0,2.9918967907026337,-74.0779,4.6150400000000005,9379.0,2.0
465,504.0,504.0,3.6953043478260863,-74.0747,4.62275,2875.0,3.0
466,505.0,505.0,3.0000000000000004,-74.1026,4.60744,10333.0,2.0
467,506.0,506.0,3.0000000000000004,-74.0867,4.60222,4275.0,2.0
468,507.0,507.0,3.0,-74.1033,4.61239,8565.0,2.0
469,508.0,508.0,3.0,-74.0869,4.61362,159.0,2.0
470,509.0,509.0,3.0000000000000004,-74.0979,4.61233,1216.0,2.0
471,510.0,510.0,2.750462677359656,-74.085,4.6089400000000005,3242.0,2.0
472,511.0,511.0,3.0000000000000013,-74.0955,4.59856,19155.0,2.0
473,512.0,512.0,3.4101394500195488,-74.0805,4.62139,7673.0,2.0
474,513.0,513.0,2.9999999999999987,-74.0918,4.61519,1058.0,2.0
475,514.0,514.0,3.0000000000000013,-74.1001,4.60289,13791.0,2.0
